ID_ANSSI,Titre_ANSSI,Type,Date_publication,CVE_ID,CVSS_score,Base_Severity,CWE,CWE_description,EPSS_score,Lien_bulletin,Description,Editeur,Produit,Versions_affectees
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-30010,6.1,MEDIUM,CWE-601,CWE-601: URL Redirection to Untrusted Site,0.000560000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"The Live Auction Cockpit in SAP Supplier Relationship Management (SRM) uses a deprecated java applet component within the affected SRM packages which allows an unauthenticated attacker to craft a malicious link, which when clicked by a victim, redirects the browser to a malicious site. On successful exploitation, the attacker could cause low impact on confidentiality and integrity with no impact on the availability of the application.",SAP_SE,SAP Supplier Relationship Management (Live Auction Cockpit),SRM_SERVER 7.14
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-30011,5.3,MEDIUM,CWE-497,CWE-497: Exposure of Sensitive System Information to an Unauthorized Control Sphere,0.000500000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"The Live Auction Cockpit in SAP Supplier Relationship Management (SRM) uses a deprecated java applet component within the affected SRM packages which allows an unauthenticated attacker to send an malicious request to the application, which could disclose the internal version details of the affected system. This vulnerability has low impact on confidentiality, with no effect on integrity and availability of the application.",SAP_SE,SAP Supplier Relationship Management (Live Auction Cockpit),SRM_SERVER 7.14
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-0060,6.5,MEDIUM,CWE-94,CWE-94: Improper Control of Generation of Code,0.000340000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,SAP BusinessObjects Business Intelligence Platform allows an authenticated user with restricted access to inject malicious JS code which can read sensitive information from the server and send it to the attacker. The attacker could further use this information to impersonate as a high privileged user causing high impact on confidentiality and integrity of the application.,SAP_SE,SAP BusinessObjects Business Intelligence Platform,"ENTERPRISE 420, 430, 2025"
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-42997,6.6,MEDIUM,CWE-732,CWE-732: Incorrect Permission Assignment for Critical Resource,0.000410000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"Under certain conditions, SAP Gateway Client allows a high-privileged user to access restricted information beyond the scope of the application. Due to the possibility of influencing application behavior or performance through misuse of the exposed data, this may potentially lead to low impact on confidentiality, integrity, and availability.",SAP_SE,SAP Gateway Client,"SAP_GWFND 752, 753, 754, 755, 756, 757, 758"
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-26662,4.4,MEDIUM,CWE-79,CWE-79: Improper Neutralization of Input During Web Page Generation,0.000290000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"The Data Services Management Console does not sufficiently encode user-controlled inputs, allowing an attacker to inject malicious script. When a targeted victim, who is already logged in, clicks on the compromised link, the injected script gets executed within the scope of victim�s browser. This potentially leads to an impact on confidentiality and integrity. Availability is not impacted.",SAP_SE,SAP Data Services Management Console,SBOP DS JOB SERVER 4.3
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-43010,8.3,HIGH,CWE-94,CWE-94: Improper Control of Generation of Code,0.000470000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"SAP S/4HANA Cloud Private Edition or on Premise (SCM Master Data Layer (MDL)) allows an authenticated attacker with SAP standard authorization to execute a certain function module remotely and replace arbitrary ABAP programs, including SAP standard programs. This is due to lack of input validation and no authorization checks. This has low Confidentiality impact but high impact on integrity and availability to the application.",SAP_SE,SAP S/4HANA Cloud Private Edition or on Premise (SCM Master Data Layer (MDL)),"S4CORE 102, 103, 104, 105, 106, 107, 108, SCM_BASIS 700, 701, 702, 712, 713, 714"
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-43006,6.1,MEDIUM,CWE-79,CWE-79: Improper Neutralization of Input During Web Page Generation,0.000750000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"SAP Supplier Relationship Management (Master Data Management Catalogue) allows an unauthenticated attacker to execute malicious scripts in the application, potentially leading to a Cross-Site Scripting (XSS) vulnerability. This has no impact on the availability of the application, but it can have some minor impact on its confidentiality and integrity.",SAP_SE,SAP Supplier Relationship Management (Master Data Management Catalog),SRM_MDM_CAT 7.52
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-0061,8.7,HIGH,CWE-497,CWE-497: Exposure of Sensitive System Information to an Unauthorized Control Sphere,0.000510000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"SAP BusinessObjects Business Intelligence Platform allows an unauthenticated attacker to perform session hijacking over the network without any user interaction, due to an information disclosure vulnerability. Attacker can access and modify all the data of the application.",SAP_SE,SAP BusinessObjects Business Intelligence Platform,"ENTERPRISE 420, 430, 2025"
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-31329,6.2,MEDIUM,CWE-141,CWE-141: Improper Neutralization of Parameter/Argument Delimiters,0.000360000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"SAP NetWeaver is vulnerable to an Information Disclosure vulnerability caused by the injection of malicious instructions into user configuration settings. An attacker with administrative privileges can craft these instructions so that when accessed by the victim, sensitive information such as user credentials is exposed. These credentials may then be used to gain unauthorized access to local or adjacent systems. This results in high impact to Confidentiality, with no significant effect on Integrity or Availability.",SAP_SE,SAP NetWeaver Application Server ABAP and ABAP Platform,"SAP_BASIS 700, SAP_BASIS 701, SAP_BASIS 702, SAP_BASIS 731, SAP_BASIS 740, SAP_BASIS 750, SAP_BASIS 751, SAP_BASIS 752, SAP_BASIS 753, SAP_BASIS 754, SAP_BASIS 755, SAP_BASIS 756, SAP_BASIS 757, SAP_BASIS 758"
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-43000,7.9,HIGH,CWE-862,CWE-862: Missing Authorization,0.000140000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,Under certain conditions Promotion Management Wizard (PMW) allows an attacker to access information which would otherwise be restricted.This has High impact on Confidentiality with Low impact on Integrity and Availability of the application.,SAP_SE,SAP Business Objects Business Intelligence Platform (PMW),"ENTERPRISE 430, 2025, 2027"
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-42999,9.1,CRITICAL,CWE-502,CWE-502: Deserialization of Untrusted Data,0.147070000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"SAP NetWeaver Visual Composer Metadata Uploader is vulnerable when a privileged user can upload untrusted or malicious content which, when deserialized, could potentially lead to a compromise of confidentiality, integrity, and availability of the host system.",SAP_SE,SAP NetWeaver (Visual Composer development server),VCFRAMEWORK 7.50
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-43009,6.3,MEDIUM,CWE-862,CWE-862: Missing Authorization,0.000380000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"SAP Service Parts Management (SPM) does not perform necessary authorization checks for an authenticated user, allowing an attacker to escalate privileges. This has low impact on Confidentiality, integrity and availability of the application.",SAP_SE,SAP Service Parts Management (SPM),"SAP_APPL 600, 602, 603, 604, 605, 606, 616, 617, 618, S4CORE 100, 101, 102"
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-30018,8.6,HIGH,CWE-611,CWE-611: Improper Restriction of XML External Entity Reference,0.000780000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"The Live Auction Cockpit in SAP Supplier Relationship Management (SRM) allows an unauthenticated attacker to submit an application servlet request with a crafted XML file which when parsed, enables the attacker to access sensitive files and data. This vulnerability has a high impact on the application's confidentiality, with no effect on integrity and availability of the application.",SAP_SE,SAP Supplier Relationship Management (Live Auction Cockpit),SRM_SERVER 7.14
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-43005,4.3,MEDIUM,CWE-256,CWE-256: Plaintext Storage of a Password,0.000170000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"SAP GUI for Windows allows an unauthenticated attacker to exploit insecure obfuscation algorithms used by the GuiXT application to store user credentials. While this issue does not impact the Integrity or Availability of the application, it may have a Low impact on the Confidentiality of data.",SAP_SE,SAP GUI for Windows,BC-FES-GUI 8.00
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2024-39592,7.7,HIGH,CWE-862,CWE-862: Missing Authorization,0.001360000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"Elements of PDCE does not perform necessary
authorization checks for an authenticated user, resulting in escalation of
privileges.



This
allows an attacker to read sensitive information causing high impact on the
confidentiality of the application.",SAP_SE,SAP PDCE,"S4CORE 102, S4CORE 103, S4COREOP 104, S4COREOP 105, S4COREOP 106, S4COREOP 107, S4COREOP 108"
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-43002,4.3,MEDIUM,CWE-472,CWE-472: External Control of Assumed-Immutable Web Parameter,0.000300000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,SAP S4CORE OData meta-data property allows an authenticated attacker to access restricted information due to missing authorization check. This could cause a low impact on confidentiality but integrity and availability of the application are not impacted.,SAP_SE,SAP S4/HANA (OData meta-data property),"S4CORE 102, 103, 104, 105, 106"
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-43007,6.3,MEDIUM,CWE-862,CWE-862: Missing Authorization,0.000380000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"SAP Service Parts Management (SPM) does not perform necessary authorization checks for an authenticated user, allowing an attacker to escalate privileges. This has low impact on confidentiality, integrity and availability of the application.",SAP_SE,SAP Service Parts Management (SPM),"SAP_APPL 617, 618, S4CORE 100, 101, 102, 103"
CERTFR-2025-AVI-0470,Vulnérabilité dans les produits Moxa (02 juin 2025),Avis,"Mon, 02 Jun 2025 00:00:00 +0000",CVE-2002-20001,,Non disponible,Non disponible,n/a,0.146800000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0470/,"The Diffie-Hellman Key Agreement Protocol allows remote attackers (from the client side) to send arbitrary numbers that are actually not public keys, and trigger expensive server-side DHE modular-exponentiation calculations, aka a D(HE)at or D(HE)ater attack. The client needs very little CPU resources and network bandwidth. The attack may be more disruptive in cases where a client can require a server to select its largest supported key size. The basic attack scenario is that the client must claim that it can only communicate with DHE, and the server must be configured to allow DHE.",n/a,n/a,n/a
CERTFR-2025-AVI-0468,Vulnérabilité dans Roundcube (02 juin 2025),Avis,"Mon, 02 Jun 2025 00:00:00 +0000",CVE-2025-49113,9.9,CRITICAL,CWE-502,CWE-502 Deserialization of Untrusted Data,0.305290000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0468/,"Roundcube Webmail before 1.5.10 and 1.6.x before 1.6.11 allows remote code execution by authenticated users because the _from parameter in a URL is not validated in program/actions/settings/upload.php, leading to PHP Object Deserialization.",Roundcube,Webmail,"0, 1.6.0"
CERTFR-2025-AVI-0471,Multiples vulnérabilités dans Google Chrome (03 juin 2025),Avis,"Tue, 03 Jun 2025 00:00:00 +0000",CVE-2025-5068,,Non disponible,CWE-416,Use after free,0.001170000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0471/,Use after free in Blink in Google Chrome prior to 137.0.7151.68 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page. (Chromium security severity: Medium),Google,Chrome,137.0.7151.68
CERTFR-2025-AVI-0471,Multiples vulnérabilités dans Google Chrome (03 juin 2025),Avis,"Tue, 03 Jun 2025 00:00:00 +0000",CVE-2025-5419,,Non disponible,Non disponible,Out of bounds read and write,0.042320000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0471/,Out of bounds read and write in V8 in Google Chrome prior to 137.0.7151.68 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page. (Chromium security severity: High),Google,Chrome,137.0.7151.68
CERTFR-2025-AVI-0472,Multiples vulnérabilités dans Google Android (03 juin 2025),Avis,"Tue, 03 Jun 2025 00:00:00 +0000",CVE-2025-0478,,Non disponible,CWE-280,CWE-280: Improper Handling of Insufficient Permissions or Privileges,0.000160000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0472/,"Software installed and run as a non-privileged user may conduct improper GPU system calls to issue reads and writes to arbitrary physical memory pages.

Under certain circumstances this exploit could be used to corrupt data pages not allocated by the GPU driver but memory pages in use by the kernel and drivers running on the platform, altering their behaviour.",Imagination Technologies,Graphics DDK,1.15 RTM
CERTFR-2025-AVI-0472,Multiples vulnérabilités dans Google Android (03 juin 2025),Avis,"Tue, 03 Jun 2025 00:00:00 +0000",CVE-2025-21485,7.8,HIGH,CWE-367,CWE-367 Time-of-check Time-of-use (TOCTOU) Race Condition,0.000150000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0472/,Memory corruption while processing INIT and multimode invoke IOCTL calls on FastRPC.,"Qualcomm, Inc.",Snapdragon,"FastConnect 6900, FastConnect 7800, QMP1000, SM8735, SM8750, SM8750P, Snapdragon 8 Gen 3 Mobile Platform, Snapdragon W5+ Gen 1 Wearable Platform, SW5100, SW5100P, SXR2230P, SXR2250P, SXR2330P, WCD9378, WCD9380, WCD9385, WCD9390, WCD9395, WCN7750, WCN7860, WCN7861, WCN7880, WCN7881, WSA8830, WSA8832, WSA8835, WSA8840, WSA8845, WSA8845H"
CERTFR-2025-AVI-0472,Multiples vulnérabilités dans Google Android (03 juin 2025),Avis,"Tue, 03 Jun 2025 00:00:00 +0000",CVE-2024-12576,,Non disponible,CWE-822,CWE - CWE-822: Untrusted Pointer Dereference (4.16),0.000170000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0472/,Software installed and run as a non-privileged user may conduct improper GPU system calls to trigger a crash of the FW running on the GPU freezing graphics output.,Imagination Technologies,Graphics DDK,1.15 RTM
CERTFR-2025-AVI-0472,Multiples vulnérabilités dans Google Android (03 juin 2025),Avis,"Tue, 03 Jun 2025 00:00:00 +0000",CVE-2025-0835,,Non disponible,CWE-416,CWE-416: Use After Free,0.000170000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0472/,Software installed and run as a non-privileged user may conduct improper GPU system calls to corrupt kernel heap memory.,Imagination Technologies,Graphics DDK,23.2 RTM
CERTFR-2025-AVI-0472,Multiples vulnérabilités dans Google Android (03 juin 2025),Avis,"Tue, 03 Jun 2025 00:00:00 +0000",CVE-2024-53021,8.2,HIGH,CWE-126,CWE-126 Buffer Over-read,0.000550000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0472/,Information disclosure may occur while processing goodbye RTCP packet from network.,"Qualcomm, Inc.",Snapdragon,"APQ8017, AQT1000, FastConnect 6200, FastConnect 6700, FastConnect 6800, FastConnect 6900, FastConnect 7800, QAM8255P, QAM8295P, QAM8620P, QAM8650P, QAM8775P, QAMSRV1H, QAMSRV1M, QCA6310, QCA6320, QCA6335, QCA6391, QCA6420, QCA6421, QCA6426, QCA6430, QCA6431, QCA6436, QCA6574, QCA6574A, QCA6574AU, QCA6595, QCA6595AU, QCA6678AQ, QCA6688AQ, QCA6696, QCA6698AQ, QCA6797AQ, QCM2150, QCM2290, QCM4290, QCM4325, QCM4490, QCM5430, QCM6125, QCM6490, QCM8550, QCN9011, QCN9012, QCN9274, QCS2290, QCS410, QCS4290, QCS4490, QCS5430, QCS610, QCS6125, QCS615, QCS6490, QCS8300, QCS8550, QCS9100, QMP1000, Qualcomm 205 Mobile Platform, Qualcomm 215 Mobile Platform, Qualcomm Video Collaboration VC1 Platform, Qualcomm Video Collaboration VC3 Platform, Robotics RB3 Platform, SA4150P, SA4155P, SA6145P, SA6150P, SA6155, SA6155P, SA7255P, SA7775P, SA8145P, SA8150P, SA8155, SA8155P, SA8195P, SA8255P, SA8295P, SA8620P, SA8650P, SA8770P, SA8775P, SA9000P, SD 8 Gen1 5G, SD626, SD660, SD670, SD730, SD835, SD855, SD865 5G, SD888, SDM429W, SDX55, SG4150P, SM4125, SM4635, SM6250, SM6370, SM6650, SM6650P, SM7250P, SM7315, SM7325P, SM7635, SM7675, SM7675P, SM8550P, SM8635, SM8635P, SM8650Q, SM8735, SM8750, SM8750P, Smart Display 200 Platform (APQ5053-AA), Snapdragon 210 Processor, Snapdragon 212 Mobile Platform, Snapdragon 4 Gen 1 Mobile Platform, Snapdragon 4 Gen 2 Mobile Platform, Snapdragon 425 Mobile Platform, Snapdragon 429 Mobile Platform, Snapdragon 439 Mobile Platform, Snapdragon 460 Mobile Platform, Snapdragon 480 5G Mobile Platform, Snapdragon 480+ 5G Mobile Platform (SM4350-AC), Snapdragon 625 Mobile Platform, Snapdragon 626 Mobile Platform, Snapdragon 630 Mobile Platform, Snapdragon 632 Mobile Platform, Snapdragon 636 Mobile Platform, Snapdragon 660 Mobile Platform, Snapdragon 662 Mobile Platform, Snapdragon 670 Mobile Platform, Snapdragon 675 Mobile Platform, Snapdragon 678 Mobile Platform (SM6150-AC), Snapdragon 680 4G Mobile Platform, Snapdragon 685 4G Mobile Platform (SM6225-AD), Snapdragon 690 5G Mobile Platform, Snapdragon 695 5G Mobile Platform, Snapdragon 710 Mobile Platform, Snapdragon 720G Mobile Platform, Snapdragon 730 Mobile Platform (SM7150-AA), Snapdragon 730G Mobile Platform (SM7150-AB), Snapdragon 732G Mobile Platform (SM7150-AC), Snapdragon 750G 5G Mobile Platform, Snapdragon 765 5G Mobile Platform (SM7250-AA), Snapdragon 765G 5G Mobile Platform (SM7250-AB), Snapdragon 768G 5G Mobile Platform (SM7250-AC), Snapdragon 778G 5G Mobile Platform, Snapdragon 778G+ 5G Mobile Platform (SM7325-AE), Snapdragon 780G 5G Mobile Platform, Snapdragon 782G Mobile Platform (SM7325-AF), Snapdragon 7c+ Gen 3 Compute, Snapdragon 8 Gen 1 Mobile Platform, Snapdragon 8 Gen 2 Mobile Platform, Snapdragon 8 Gen 3 Mobile Platform, Snapdragon 8+ Gen 1 Mobile Platform, Snapdragon 8+ Gen 2 Mobile Platform, Snapdragon 835 Mobile PC Platform, Snapdragon 845 Mobile Platform, Snapdragon 855 Mobile Platform, Snapdragon 855+/860 Mobile Platform (SM8150-AC), Snapdragon 865 5G Mobile Platform, Snapdragon 865+ 5G Mobile Platform (SM8250-AB), Snapdragon 870 5G Mobile Platform (SM8250-AC), Snapdragon 888 5G Mobile Platform, Snapdragon 888+ 5G Mobile Platform (SM8350-AC), Snapdragon W5+ Gen 1 Wearable Platform, Snapdragon X50 5G Modem-RF System, Snapdragon X55 5G Modem-RF System, Snapdragon XR1 Platform, Snapdragon XR2 5G Platform, Snapdragon XR2+ Gen 1 Platform, SRV1H, SRV1L, SRV1M, SW5100, SW5100P, SXR1120, SXR2130, TalynPlus, Vision Intelligence 100 Platform (APQ8053-AA), Vision Intelligence 200 Platform (APQ8053-AC), Vision Intelligence 300 Platform, Vision Intelligence 400 Platform, WCD9326, WCD9335, WCD9340, WCD9341, WCD9370, WCD9375, WCD9378, WCD9380, WCD9385, WCD9390, WCD9395, WCN3610, WCN3615, WCN3620, WCN3660B, WCN3680, WCN3680B, WCN3910, WCN3950, WCN3980, WCN3988, WCN3990, WCN6450, WCN6650, WCN6740, WCN6755, WCN7750, WCN7860, WCN7861, WCN7880, WCN7881, WSA8810, WSA8815, WSA8830, WSA8832, WSA8835, WSA8840, WSA8845, WSA8845H"
